"year","month","day","mode","route","peak","numerator","denominator","mean"
2023,2,9,"Rail","Green-D","OFF_PEAK",18697.380987346,24283.619353139,0.769958576414973
2023,2,9,"Rail","Green-D","PEAK",14726.687700254,18187.144382564,0.809730620183148
2023,2,9,"Rail","Green-E","OFF_PEAK",16052.94221806,20633.047730448,0.778020892879088
2023,2,9,"Rail","Green-E","PEAK",12052.219897296,14896.951731629,0.809039333309169
2023,2,9,"Rail","Orange","OFF_PEAK",82976.866912205,88460.825865388,0.938006921148034
2023,2,9,"Rail","Orange","PEAK",69602.675463698,73130.444481481,0.951760596523157
2023,2,9,"Rail","Red","OFF_PEAK",98592.765091333,116157.210407692,0.84878730080801
2023,2,9,"Rail","Red","PEAK",85322.31275287,99405.07164129,0.858329573573081
2023,2,10,"Rail","Blue","OFF_PEAK",42027.931781308,43282.47447105,0.971014996137036
2023,2,10,"Rail","Blue","PEAK",27485.311909045,28611.65237463,0.960633505159467
2023,2,10,"Rail","Green-B","OFF_PEAK",9284.323025397,11463.262004222,0.809919813572918
2023,2,10,"Rail","Green-B","PEAK",5613.593450337,7157.301106814,0.784317072393763
2023,2,10,"Rail","Green-C","OFF_PEAK",9567.873320519,11892.666931416,0.804518732063726
2023,2,10,"Rail","Green-C","PEAK",6039.531365727,7985.30093538,0.756331090662846
2023,2,10,"Rail","Green-D","OFF_PEAK",18684.629310208,24128.332636626,0.774385432744133
2023,2,10,"Rail","Green-D","PEAK",13621.851057945,18257.609059842,0.74609172610156
2023,2,10,"Rail","Green-E","OFF_PEAK",17146.074141781,21098.142304901,0.8126816993645
2023,2,10,"Rail","Green-E","PEAK",12937.918684182,15772.88693536,0.820263198310101
2023,2,10,"Rail","Orange","OFF_PEAK",80010.830352438,89600.633559151,0.892971703147811
2023,2,10,"Rail","Orange","PEAK",65916.980757385,74238.276426946,0.887910979752479
2023,2,10,"Rail","Red","OFF_PEAK",111705.620045388,127093.111077333,0.878927418634185
2023,2,10,"Rail","Red","PEAK",100678.263094934,111829.452794705,0.900283964366327
2023,2,11,"Rail","Blue","OFF_PEAK",43953.165829006,44420.179639277,0.989486449310573
2023,2,11,"Rail","Green-B","OFF_PEAK",9163.243271127,11559.663368747,0.79269118648394
2023,2,11,"Rail","Green-C","OFF_PEAK",10858.208853285,12914.792021688,0.840757546466923
2023,2,11,"Rail","Green-D","OFF_PEAK",16034.98079289,21030.2693519,0.762471489288905
2023,2,11,"Rail","Green-E","OFF_PEAK",10617.081806303,16831.854406256,0.630773148938175
2023,2,11,"Rail","Orange","OFF_PEAK",6393.124908956,9068.083638716,0.705013888674414
2023,2,11,"Rail","Red","OFF_PEAK",77702.840536877,90814.176514893,0.855624567868368
2023,2,12,"Rail","Blue","OFF_PEAK",32928.702848914,33819.789948953,0.973651903179056
2023,2,12,"Rail","Green-B","OFF_PEAK",8166.933721222,10351.734379942,0.788943516271692
2023,2,12,"Rail","Green-C","OFF_PEAK",10652.440420988,12922.699501181,0.824320059443809
2023,2,12,"Rail","Green-D","OFF_PEAK",14351.320835238,18375.161828981,0.781017384706965
